OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods
14108,342 30th Street,,30th Street,SIDEWALK,4,8,,2021,1,,,POINT (-122.427470801 37.742048464),12/29/2021 16:46,6/17/2024 10:17,Noe Valley,8,84,9,5,22,174,,,84
12183,Belden Street,Belden Place,BUSH,SIDEWALK,2,4,,2017,1,37.790909,-122.403743,POINT (-122.4037425 37.79090921),1/29/2020 12:38,6/17/2024 10:17,Financial District/South Beach,3,108,6,3,8,43,,,108
20813,1984 Mission Street,H&R block,Mission Street,SIDEWALK,1,2,,2023,11,,,POINT (-122.419769683 37.765347021),11/13/2023 15:31,6/17/2024 10:17,Mission,9,53,3,2,20,89,,,53
11638,2762 FOLSOM ST,Inglesia Zion,FOLSOM,SIDEWALK,2,4,,2011,3,37.753068,-122.414474,POINT (-122.414473796 37.753068005),1/29/2020 12:38,6/17/2024 10:17,Mission,9,53,3,2,20,166,,,53
12367,51 HAVELOCK ST,Balboa Park Swimming Pool,HAVELOCK,SIDEWALK,2,4,,2011,1,37.724767,-122.44624,POINT (-122.446239695 37.724766729),1/29/2020 12:38,6/17/2024 10:17,Outer Mission,11,94,9,1,28,186,,,94
11235,3300 BALBOA ST,Multicultural Preschool,BALBOA,SIDEWALK,1,2,,2014,7,37.776094,-122.494286,POINT (-122.494285682 37.776094239),1/29/2020 12:38,6/17/2024 10:17,Outer Richmond,1,8,8,4,29,56,,,8
10556,2991 SACRAMENTO ST,Liege Home and Garden,SACRAMENTO,SIDEWALK,1,2,,2002,0,37.788723999999995,-122.441895,POINT (-122.441894588 37.788724444),1/29/2020 12:38,6/17/2024 10:17,Pacific Heights,2,102,8,6,30,7,,,102
14212,2151 Laguna,,Laguna,SIDEWALK,3,6,,2021,5,,,POINT (-122.429175141 37.790921901),12/29/2021 16:46,6/17/2024 10:17,Pacific Heights,2,102,4,6,30,39,,,102
12493,548 Union Street,(former business) Cykel,Union Street,SIDEWALK,1,2,,2019,12,37.79941077,-122.4174712,POINT (-122.417471223 37.799410774),1/31/2020 14:21,6/17/2024 10:17,Russian Hill,3,107,6,6,32,15,,,107
12687,4113 4113 19th St,,4113 19th St,SIDEWALK,2,4,,2019,12,37.75926779,-122.4350713,POINT (-122.435071248 37.759267792),1/31/2020 14:21,6/17/2024 10:17,Castro/Upper Market,8,115,3,5,5,171,9,,115
